time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-17T04:42:21.850Z,-11.3225,163.9527,10,5,mb,30,111,4.362,0.61,us,us7000iqbe,2022-11-18T01:26:05.040Z,"212 km WSW of Lata, Solomon Islands",earthquake,10.52,1.885,0.111,26,reviewed,us,us
2022-11-17T04:19:50.756Z,-1.9207,-78.0808,141.391,5.2,mb,154,45,2.176,0.66,us,us7000iqb6,2022-11-17T22:31:51.046Z,"27 km SSW of Palora, Ecuador",earthquake,8.35,3.979,0.021,723,reviewed,us,us
2022-11-17T00:28:20.460Z,40.7873,142.3764,61.792,5.1,mb,110,113,0.996,0.99,us,us7000iq9c,2022-11-17T00:48:49.040Z,"80 km ENE of Hachinohe, Japan",earthquake,6.46,5.456,0.028,414,reviewed,us,us
2022-11-16T22:26:53.059Z,-11.6959,166.6027,139,5.8,mww,131,21,3.774,0.76,us,us7000iq83,2022-11-17T22:29:46.132Z,"138 km SE of Lata, Solomon Islands",earthquake,8.3,1.88,0.048,41,reviewed,us,us
2022-11-16T21:32:44.481Z,31.6367452,-103.9987871,6.902807617,5.4,ml,42,46,0.02345152448,0.1,tx,tx2022wmmd,2022-11-21T05:32:32.444Z,"38 km WSW of Mentone, Texas",earthquake,0.4628109061,0.629622792,0.2,21,reviewed,tx,tx
2022-11-16T20:33:25.595Z,-5.0835,133.9727,10,4.8,mb,43,69,2.753,0.61,us,us7000iq7a,2022-11-16T20:56:21.040Z,"148 km ENE of Tual, Indonesia",earthquake,7.72,1.84,0.089,42,reviewed,us,us
2022-11-16T18:22:00.717Z,-4.7392,100.7486,10,4.5,mb,31,162,2.232,0.29,us,us7000iq6u,2022-11-16T18:57:00.040Z,"197 km WSW of Bengkulu, Indonesia",earthquake,9.74,1.87,0.132,19,reviewed,us,us
2022-11-16T16:02:53.991Z,31.9016,76.9675,10,4.5,mb,40,99,3.571,0.59,us,us7000iq4z,2022-11-17T01:24:22.006Z,"14 km WSW of Kulu, India",earthquake,5.3,1.851,0.11,24,reviewed,us,us
2022-11-16T15:07:41.450Z,22.403,121.1695,10.708,4.7,mb,59,99,0.421,0.63,us,us7000iq4r,2022-11-17T00:27:44.040Z,"62 km NE of Hengchun, Taiwan",earthquake,5.83,4.194,0.078,50,reviewed,us,us
2022-11-16T15:02:07.277Z,22.388,121.1981,10,4.5,mb,24,106,0.441,0.65,us,us7000iq4q,2022-11-16T22:40:21.040Z,"63 km NE of Hengchun, Taiwan",earthquake,3.16,1.895,0.135,16,reviewed,us,us
2022-11-16T14:23:30.763Z,-20.6803,-177.6475,466.54,4.5,mb,110,70,2.336,1,us,us7000iq4j,2022-11-16T14:49:46.040Z,"258 km WNW of Haveluloto, Tonga",earthquake,11.55,7.563,0.046,146,reviewed,us,us
2022-11-16T09:50:21.891Z,-60.675,-29.3781,10,4.7,mb,22,88,14.031,0.6,us,us7000iq3g,2022-11-16T10:15:58.040Z,"South Sandwich Islands region",earthquake,9.74,1.857,0.12,21,reviewed,us,us
2022-11-16T09:22:44.754Z,-5.3468,102.3553,32.34,5.1,mb,58,93,1.148,0.71,us,us7000iq39,2022-11-16T09:40:00.040Z,"southern Sumatra, Indonesia",earthquake,7.13,4.364,0.08,50,reviewed,us,us
2022-11-16T06:01:32.279Z,-4.7464,100.7715,8.951,5.5,mww,87,93,2.211,0.98,us,us7000iq2d,2022-11-17T06:04:54.870Z,"196 km WSW of Bengkulu, Indonesia",earthquake,6.82,4.388,0.078,16,reviewed,us,us
2022-11-16T05:55:22.990Z,-1.5345,-77.5119,178.401,4.5,mb,37,149,1.995,0.84,us,us7000iq2c,2022-11-16T08:17:54.040Z,"53 km ENE of Palora, Ecuador",earthquake,9.67,7.407,0.071,58,reviewed,us,us
2022-11-16T02:47:00.825Z,26.5862,102.0918,10,4.7,mb,72,84,5.494,0.72,us,us7000iq1f,2022-11-17T02:10:18.834Z,"38 km E of Dadukou, China",earthquake,9.4,1.868,0.071,60,reviewed,us,us
2022-11-15T21:17:40.708Z,-59.7682,-26.1288,64.615,5.2,mb,68,75,7.879,0.72,us,us7000ipyc,2022-11-15T21:37:44.040Z,"South Sandwich Islands region",earthquake,11.88,7.705,0.065,79,reviewed,us,us
2022-11-15T21:14:12.539Z,-42.7885,124.6003,10,5.2,mww,77,46,11.428,0.41,us,us7000ipy9,2022-11-17T23:05:42.040Z,"south of Australia",earthquake,7.93,1.746,0.098,10,reviewed,us,us
2022-11-15T20:52:00.379Z,6.2063,126.5994,109.206,4.5,mb,52,117,1.328,0.48,us,us7000ipy4,2022-11-15T22:57:05.040Z,"49 km ESE of Pondaguitan, Philippines",earthquake,8.46,7.309,0.089,40,reviewed,us,us
2022-11-15T20:48:19.953Z,-5.2261,152.6182,50.421,4.9,mb,116,98,1.123,0.65,us,us7000iqse,2022-11-18T17:25:59.040Z,"105 km SSE of Kokopo, Papua New Guinea",earthquake,6.79,5.255,0.055,114,reviewed,us,us
2022-11-15T20:46:31.937Z,-53.6998,140.5488,10,4.9,mb,45,100,11.693,0.78,us,us7000ipy1,2022-11-15T21:03:34.040Z,"west of Macquarie Island",earthquake,7.51,1.831,0.087,42,reviewed,us,us
2022-11-15T17:26:21.214Z,-30.6359,-71.3494,49.635,4.8,mb,87,74,0.249,0.7,us,us7000ipwx,2022-11-15T18:34:51.040Z,"14 km WSW of Ovalle, Chile",earthquake,4.55,4.45,0.068,72,reviewed,us,us
2022-11-15T17:22:08.199Z,-6.9346,105.4664,40.368,4.9,mww,105,53,3.5,1.09,us,us7000ipww,2022-11-17T22:31:57.040Z,"73 km SSW of Labuan, Indonesia",earthquake,6.43,5.647,0.089,12,reviewed,us,us
2022-11-15T17:21:11.096Z,-7.0628,105.3135,57.278,4.6,mb,84,51,3.386,0.59,us,us7000ipwy,2022-11-15T19:15:33.040Z,"94 km SW of Labuan, Indonesia",earthquake,6.68,3.338,0.07,68,reviewed,us,us
2022-11-15T16:13:01.829Z,12.9753,-88.8837,59.531,4.5,mb,44,181,0.734,0.53,us,us7000ipwz,2022-11-15T19:49:58.040Z,"49 km SW of Puerto El Triunfo, El Salvador",earthquake,5.98,8.537,0.106,28,reviewed,us,us
2022-11-15T15:02:34.636Z,27.7158,55.9911,10,4.6,mb,57,115,2.766,0.48,us,us7000ipva,2022-11-15T15:33:59.040Z,"65 km NNW of Bandar Abbas, Iran",earthquake,11.15,1.894,0.079,50,reviewed,us,us
2022-11-15T13:53:34.308Z,16.8582,146.7287,72.721,4.5,mb,10,99,3.713,0.37,us,us7000iqs7,2022-11-20T21:48:04.040Z,"209 km NNE of Saipan, Northern Mariana Islands",earthquake,10.28,9.108,0.242,7,reviewed,us,us
2022-11-15T12:24:20.634Z,-53.6768,140.9345,10,4.9,mb,44,51,10.62,0.52,us,us7000ipuy,2022-11-15T12:58:29.040Z,"west of Macquarie Island",earthquake,10.82,1.863,0.092,37,reviewed,us,us
2022-11-15T11:53:19.899Z,22.3473,121.0835,10,4.9,mb,94,80,0.468,0.64,us,us7000ipuv,2022-11-15T12:38:48.040Z,"51 km NE of Hengchun, Taiwan",earthquake,4.61,0.941,0.062,81,reviewed,us,us
2022-11-15T11:02:36.146Z,0.0198,124.3218,73.403,4.7,mb,64,56,1.875,0.49,us,us7000ipur,2022-11-15T12:08:19.040Z,"151 km ESE of Gorontalo, Indonesia",earthquake,6.71,7.596,0.076,53,reviewed,us,us
2022-11-15T10:53:41.511Z,37.5738,78.0498,10,4.6,mb,32,127,3.95,0.37,us,us7000ipuq,2022-11-16T10:15:04.040Z,"71 km WNW of Zangguy, China",earthquake,9.39,1.932,0.181,9,reviewed,us,us
2022-11-15T08:24:37.875Z,14.0707,119.4159,19.425,4.9,mb,31,130,21.139,0.58,us,us7000ipu8,2022-11-15T09:16:56.040Z,"71 km WNW of Cabra, Philippines",earthquake,5.14,5.101,0.067,69,reviewed,us,us
2022-11-15T08:03:33.197Z,12.1694,141.9053,64.975,4.8,mb,44,55,17.025,0.85,us,us7000iptv,2022-11-15T08:41:54.040Z,"Mariana Islands region",earthquake,5.92,7.097,0.074,57,reviewed,us,us
2022-11-15T07:03:18.479Z,-6.1669,129.0004,246.881,5,mww,75,56,2.908,0.81,us,us7000ipt7,2022-11-15T07:18:39.040Z,"287 km SSE of Ambon, Indonesia",earthquake,3.42,6.702,0.093,11,reviewed,us,us
2022-11-15T06:21:01.712Z,54.514,164.3581,10,4.6,mb,82,96,3.702,0.48,us,us7000ipsw,2022-11-21T06:52:44.040Z,"224 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,9.82,1.875,0.047,136,reviewed,us,us
2022-11-15T04:51:00.990Z,-59.8179,-26.3187,35,4.6,mb,26,82,7.837,0.46,us,us7000iqrw,2022-11-21T03:33:12.040Z,"South Sandwich Islands region",earthquake,13.7,1.924,0.129,18,reviewed,us,us
2022-11-15T04:37:36.390Z,-14.6989,-76.4188,10,4.6,mb,59,69,2.726,0.67,us,us7000ipsf,2022-11-21T03:00:54.040Z,"93 km S of Paracas, Peru",earthquake,3.79,1.798,0.114,23,reviewed,us,us
2022-11-15T03:43:54.049Z,22.5001,121.2199,25.351,4.6,mwr,51,100,0.342,0.91,us,us7000ips7,2022-11-21T02:54:06.040Z,"73 km NE of Hengchun, Taiwan",earthquake,4.62,4.089,0.078,16,reviewed,us,us
2022-11-15T00:44:27.515Z,-3.7888,151.2894,10,4.8,mb,41,65,0.959,0.54,us,us7000iqrg,2022-11-21T04:26:40.040Z,"107 km WNW of Rabaul, Papua New Guinea",earthquake,5.12,1.87,0.075,56,reviewed,us,us
2022-11-14T21:02:32.619Z,-22.5582,-175.074,26.844,4.6,mb,37,128,1.387,0.78,us,us7000ipq8,2022-11-14T21:48:43.040Z,"136 km S of ‘Ohonua, Tonga",earthquake,13.14,5.141,0.103,28,reviewed,us,us
2022-11-14T19:21:40.834Z,-10.8216,165.5917,46.782,4.6,mb,29,99,5.725,0.68,us,us7000iqp5,2022-11-18T18:13:14.040Z,"24 km WSW of Lata, Solomon Islands",earthquake,6.69,7.427,0.128,18,reviewed,us,us
2022-11-14T18:43:02.350Z,16.6578,-46.5417,10,4.6,mb,37,150,39.051,0.58,us,us7000iqpb,2022-11-18T17:28:37.040Z,"northern Mid-Atlantic Ridge",earthquake,12.78,1.884,0.101,29,reviewed,us,us
2022-11-14T17:53:32.111Z,16.6662,-46.4317,10,4.6,mb,35,135,18.874,0.85,us,us7000iqp2,2022-11-18T16:44:56.040Z,"northern Mid-Atlantic Ridge",earthquake,13.78,1.893,0.105,27,reviewed,us,us
